"filename", "language", "TypeScript", "HTML", "JavaScript", "CSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\details.md", "Markdown", 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 6, 15
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 7, 19
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\results.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\attributeProvider.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\damage.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 4, 2, 40
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\defaultDamageBehaviors.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\defaultMovingBehaviors.ts", "TypeScript", 1, 0, 0, 0, 0, 0, -4, 0, -3
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\defaultPieceConfig.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\attributeProvider.js", "JavaScript", 0, 0, 45, 0, 0, 0, 1, 0, 46
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\damage.js", "JavaScript", 0, 0, 36, 0, 0, 0, 4, 0, 40
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\defaultDamageBehaviors.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 20
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\defaultMovingBehaviors.js", "JavaScript", 0, 0, 1, 0, 0, 0, -4, 0, -3
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\defaultPieceConfig.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\globalValues.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\multiplayer.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\piece.js", "JavaScript", 0, 0, 28, 0, 0, 0, 3, 0, 31
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\position.js", "JavaScript", 0, 0, 12, 0, 0, 0, 4, 0, 16
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\round.js", "JavaScript", 0, 0, 9, 0, 0, 0, 1, 0, 10
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\selection.js", "JavaScript", 0, 0, 0, 0, 0, 0, -9, 0, -9
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\team.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 0, 16
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\vector.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\globalValues.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\multiplayer.html", "HTML", 0, 13, 0, 0, 0, 0, -4, 2, 11
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\multiplayer.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, -1, 5
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\piece.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 3, 1, 30
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\position.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 4, -1, 15
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\round.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\selection.ts", "TypeScript", -2, 0, 0, 0, 0, 0, -9, 2, -9
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\style.css", "CSS", 0, 0, 0, 40, 0, 0, 0, 6, 46
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\team.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\vector.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 191, 13, 178, 40, 80, 1, -4, 56, 555
