"filename", "language", "JSON with Comments", "TypeScript", "Python", "Markdown", "HTML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\details.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 15
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 19
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-25_12-08-01\results.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\attributeProvider.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\damage.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 4, 6, 78
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\damageType.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\defaultDamageBehaviors.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 0, 1, 9, 103
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\defaultMovingBehaviors.ts", "TypeScript", 0, 151, 0, 0, 0, 0, 0, 0, 7, 18, 176
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\defaultPieceConfig.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\attributeProvider.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 0, 1, 0, 46
