"filename", "language", "TypeScript", "Python", "HTML", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-27_13-00-05\details.md", "Markdown", 0, 0, 0, 0, 50, 0, 0, 6, 56
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-27_13-00-05\diff-details.md", "Markdown", 0, 0, 0, 0, 42, 0, 0, 6, 48
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-27_13-00-05\diff.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-27_13-00-05\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\.VSCodeCounter\2024-08-27_13-00-05\results.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 7, 32
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\actionCard.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 4, 12, 140
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\attributeProvider.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 12, 2, 55
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\cardLooting.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\damage.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\defaultMovingBehaviors.ts", "TypeScript", 1, 0, 0, 0, 0, 0, -3, 1, -1
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\actionCard.js", "JavaScript", 0, 0, 0, 75, 0, 0, 5, 0, 80
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\attributeProvider.js", "JavaScript", 0, 0, 0, 41, 0, 0, 12, 0, 53
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\cardLooting.js", "JavaScript", 0, 0, 0, 26, 0, 0, 1, 0, 27
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\damage.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 2
